Family,Scientific Name,Common Name,Reporting status,Migratory status,Breeding status,Habitat Use,IUCN Status,Location Codes
Muscicapidae ,Luscinia svecica,Bluethroat,CO,W,V,"GL, SC",LC,"AEC, AZ, GA, KCS, SSK, TE, WMP, WS, WT"
Muscicapidae ,Calliope calliope,Siberian Rubythroat,CO,W,V,"GL, SC",LC,"AEC, AZ, DH, GA, KCS, TE, WMP"
Muscicapidae ,Calliope tschebaiewi,Chinese Rubythroat,CO,W,V,"GL, SC",LC,KCS
Muscicapidae ,Ficedula albicilla,Taiga Flycatcher,CO,W,V,OL,LC,"AEC, CH, DH, GA, KCS, MG, SSK, TE, WMP, WS, WT"
Muscicapidae ,Phoenicurus ochruros,Black Redstart,CO,SP,V,SC,LC,"GA, KCS, TE, WMP, WS, WT"
Muscicapidae ,Monticola solitarius,Blue Rock-Thrush,CO,W,V,SC,LC,"GA, SSK, WS, WT"
Muscicapidae ,Saxicola maurus,Siberian Stonechat,CO,W,V,"GL, LM, SC",LC,"AEC, AZ, BO, CH, GA, KCS, SSK, TE, WMP, WS, WT"
Muscicapidae ,Saxicola caprata,Pied Bushchat,LD,W,V,"GL, SC",LC,"DH, KCS, WMP"
Muscicapidae ,Oenanthe isabellina,Isabelline Wheatear,VR,P,V,"GL, SC",LC,GA
Dicaeidae ,Dicaeum minullum,Plain Flowerpecker,CO,R,V,OL,LC,"KCS, MG, WS, WT"
Dicaeidae ,Dicaeum cruentatum,Scarlet-backed Flowerpecker,CO,R,V,OL,LC,"AEC, CH, GA, KCS, MG, SSK, TE, WS, WT"
Nectariniidae ,Cinnyris asiaticus,Purple Sunbird,CO,R,RB,"OL, SC",LC,"AEC, AZ, CH, GA, KCS, MG, SSK, TE, WMP, WS, WT"
Nectariniidae ,Aethopyga siparaja,Crimson Sunbird,CO,R,RB,"OL, SC",LC,"AEC, AZ, CH, GA, KCS, MG, WMP, WS, WT"
Ploceidae ,Ploceus manyar,Streaked Weaver,LD,R,B,GL,LC,"GA, KCS, TE, WMP, WS, WT"
Ploceidae ,Ploceus philippinus,Baya Weaver,CO,R,B,"GL, SC",LC,"AEC, AZ, BO, CH, GA, KCS, SSK, TE, WMP, WS, WT"
Ploceidae ,Ploceus benghalensis,Black-breasted Weaver,CO,R,B,GL,LC,"AEC, AZ, GA, KCS, SSK, WMP, WS, WT"
Estrildidae,Lonchura punctulata,Scaly-breasted Munia,CO,R,RB,"GL, SC",LC,"AEC, AZ, BO, CH, GA, KCS, SSK, TE, WMP, WS, WT"
Estrildidae,Lonchura striata,White-rumped Munia,CO,R,RB,"GL, OL, SC",LC,"AZ, GA, KCS, MG, WMP, WS, WT"
Estrildidae,Lonchura atricapilla,Chestnut Munia,CO,R,RB,GL,LC,"AEC, AZ, GA, KCS, SSK, TE, WMP, WS, WT"
Passeridae ,Passer domesticus,House Sparrow,CO,R,RB,"GL, SC",LC,"AEC, AZ, CH, DH, GA, KCS, SSK, TE, WMP, WS, WT"
Passeridae ,Passer montanus,Eurasian Tree Sparrow,CO,R,RB,"GL, SC",LC,"AEC, AZ, CH, GA, KCS, MP, SSK, TE, WMP, WS, WT"
Motacillidae ,Motacilla cinerea,Gray Wagtail,CO,W,V,OL,LC,"AEC, AZ, CH, GA, KCS, SSK, TE, WMP, WS, WT"
Motacillidae ,Motacilla tschutschensis,Eastern Yellow Wagtail,CO,W,V,"GL, LM, SC",LC,"AZ, CH, GA, KCS, MP, SSK, TE, WMP, WS, WT"
Motacillidae ,Motacilla citreola,Citrine Wagtail,CO,W,V,"GL, LM, SC",LC,"AEC, AZ, BO, CH, GA, KCS, SSK, TE, WMP, WS, WT"
Motacillidae ,Motacilla alba,White Wagtail,CO,W,V,"GL, LM, SC",LC,"AEC, AZ, BO, CH, GA, KCS, SSK, TE, WMP, WS, WT"
Motacillidae ,Anthus rufulus,Paddyfield Pipit,CO,W,RB,"GL, SC",LC,"AEC, AZ, BO, CH, GA, KCS, SSK, TE, WMP, WS, WT"
Motacillidae ,Anthus godlewskii,Blyth's Pipit,CO,SP,V,"GL, SC",LC,"AEC, BO, CH, MP, WMP, WS, WT"
Motacillidae ,Anthus roseatus,Rosy Pipit,CO,W,V,"GL, SC",LC,"AEC, AZ, CH, GA, KCS, MP, SSK, TE, WMP, WS, WT"
Motacillidae ,Anthus hodgsoni,Olive-backed Pipit,CO,W,V,"GL, OL, SC",LC,"AEC, AZ, BO, CH, GA, KCS, SSK, TE, WMP, WS, WT"
Motacillidae ,Anthus spinoletta,Water Pipit,VR,P,V,"GL, SC",LC,GA
Emberizidae ,Emberiza pusilla,Little Bunting,LR,W,V,"GL, SC",LC,"GA, SSK"
